review,rating
super great product iam love it thank you FlipkartREAD MORE,5
"A very good product by boat. I like the design of headphones and sound quality is very very good, battery backup is also very good. I am using it for playing pubg and listening music. I just loved the product.READ MORE",5
"An excellent buy for this price. Great sound. Decent bass. If your phone or laptop has an equaliser , you can change your settings and listen to great theatre like sound . They are also light weight and so not cause too much pressure when you wear them for long .READ MORE",5
this headphones are very good in this price range go for it sound quality is excellent and it provides a great bass build quality is excellent battery backup is greatgo for itREAD MORE,5
bass is very good brought the product for rs999 and is best for the value for money delivery by flipkart is super fast delivered one day before the given dateREAD MORE,5
good product in cheap price even very better than JBL first I also buyied JBL but it is not so good but this is very better than itREAD MORE,5
Good sound quality calls ok battery good bass good overall very goodREAD MORE,5
"Bang for the buck.Really great headset. Best headphone at this price.The build quality is very good and it is sturdy and light weight .The sound quality of this headphone is seriously very good and the bass is really amazing. Don't think about others, just go for it. ❤️❤️❤️❤️READ MORE",5
It's amazing but one problem is after 1 month it's USB code didn't work properly .But overally it's a nice product .READ MORE,5
"awesome product,  super quality,  clear n high volume sound,  you can change your songs. cushion quality is goodREAD MORE",5
Nice Sound Quality will give 4 out of 5Super Bass will give 4 out of 5Design and Quality - will give 4 out of 5Excellent and Super Battery. - will give 4.5 out of 5Around 8 hour Song hearing battery backup.Perfect Fits.Ultralight Weight.Noise Cancellation Up to the mark or Below Average Quality.Voice calling quality is Below Average Quality will give 2.5 out of 5.Mic working good.Aux cable and Data Cable included working Fine.Cushions can be better and very soft.Overall these prod...READ MORE,4
not good packaging but still satisfied with the product worth for money i liked it so much🤙you guys should go for itREAD MORE,4
"A decent headphone..i buy it for 1000Rs. Very satisfied with the productpros:1.good design2.good quality look3.Very good BASS4.Light weight5.good battery backupCons:1.its little bit tight..dont know if it get wasy afta using so much..ears getting pain..this problem is seen in many reviews(youtube) also.2.Good for ppl who loves BASS,cz normal sound is little bit straight3.Buttons not feel so durable.READ MORE",5
Packing was good....received in good condition...working very well.Sound quality is actually crystal clear and bass is appreciable !!Overall a nice product and value for money .READ MORE,4
"I was really excited about the headphones at first , sound quality is above expectations, bass is also good but the main issue comes in the comfort level.These headphones are not all comfortable you'll start feeling the pain in your ears withing 10-15 mins of use .The worst part is return option is not available in this product you can only exchange it , really disappointed as what's the use of good music if you are not comfortable with the product...😑READ MORE",1
Don't buy  colour with cotton cushion  it don't look that good I prefer the one with leather air cushion.  Sound quality : 9/10 in this price range It is goodBass : 7/10 I didn't get that much Design : 9/10 recommend to  buy one with leather cushion Battery : 10/10 Notice cancellation is also gud  I recommend to buy this product at sale u can get it at cheap price..Plz guyz don't buy this headphone to play pubg bass of this heaphone disturb while gaming u can't get crystal clear  qual...READ MORE,4
"Great budget headphones!! If you are looking for a headphone in this budget don't  think twice. If you're a bass head it is amazing. Battery  is decent  6 hrs on an average, but the fit is not very good. It sometimes feels loose and needs to be adjusted. Overall a good option. Design improvements can get 5 stars.READ MORE",4
Decent buy for music & for gaming Wired Gives Best Experience But at last An Excellent For Daily Use 😊. I have used it for 1 yr & Writing Review After 1 yr I have broken It's plastic Once But I have Fixed it by Tape But an decent But. Not Recommend for A too Rough UseREAD MORE,4
"TOTALLY IMPRESSED BY ITS SOUND QUALITY, SATISFIED ,BRILLANT,NICE,WORTH IT!!!!! ..........Value for money. 🤑🤑1.Sound quality is very clear and crystal🤗🙌2.BASS quality is superb....... especially for the Dj remix songs 👂3.the colour(white,gery) is much good looking 4 But the mic is little bit bad. We or the other speaking person not able to hear our voice properly.....in calling time 5.Also the fitting is  quite good but not as much because it is little bit tight over the ears...........READ MORE",5
"Got this headphone at just rs. 899 in offer i can say it's just an amazing well worth. Design and build quality is not up to the mark, it's quite uncomfortable too if you wear it for too long or may be I'm feeling it because it's new after using it for a month i may be use to it, that's  alright i was not expecting much either and it can be neglected after seeing it's price but the best part is sound and the bass which lits this headphone. It's amazing to listen songs and if you're a lover of...READ MORE",5
"Hey fellows .. the headphones are awesome superb base,superb built quality with metal holders      too good . I got it for Rs.999 .. u may get it fr d same rate on salesREAD MORE",5
Stylish Beautiful and best BASS quality...It feels like.heaven !! LIstening through this is fun...happy for this purchase..grabbed at just Rs.1099/ maybe the cheapest till now...bit tight bt maybe I'll get used to it!!Best wid Windows 10 as well..loved itTHANX FLIPKART!!READ MORE,5
Best headphone under 1k....I m really impressed with the battery backup (8hr) when continue listening with medium volume..Sound quality and extra bass is also good.It's cushions is not so soft but it is good & comfortable.READ MORE,4
its very good for 30 minutes to 1 hour usage.. ear cup is small along with a small frame so it gives high pressure on the ear. its over the ear headphone as described but i didn't expect it going to be so uncomfortable. AND NO REFUND .bass is too much so u miss the other instruments . build quality is ok because its a simple design where the ear cups are fixed on 2 steel rods. so i hope it should last.soud quality is good. superb alternate is the iball headsetREAD MORE,1
"Bought for Rs.999 on Big Billion days(Supercom.net).Received within 40 hrs.5 Star for Flipkart Superfast Delivery.On discounted products ,i had assumed that box wid be broken,sealed open,but to my Surprise, I received a Brand New box ,completely sealed and in very good condition.I was very happy for this  as half  the times, it is not the case.(5 stars for packaging and sending a Brand New sealed box).coming to the product, Product is good for the price.Bass is just ok, not gr8 but not bad e...READ MORE",4
Sound quality is amazing Fantastic lookBut its not that comfortable if your ear size is a little large.B'cauz if your ears are pretty large then if will pressurise your ear a lot and you cant use it for more than 15-20 min.READ MORE,3
Works fine with my laptop as well as mobile. But ears are aching after using it even for half an hour. Could be much softer. Good for occasional use.. Can't watch a full movie with this as we feel pain in the outer ear.READ MORE,4
The product is very good the bass is just awesome. I think bass lover should give it a try it won't let you down. The problem is with Flipkart. It takes to much of time to deliver compared to other services. it's where I felt little bit annoyed. Overall The product was worth of each and every of your penny. Thank you.READ MORE,5
super duper hit bass and sound quality is best battery backup is very very best and beautiful  and color the best. money is the best productsREAD MORE,5
"Its the best product with reasonable price, value for money and durable as well. I loved it, Thank you flipkart.READ MORE",5
sound quality good enough considering that I got it for 1000. some might find it too tight over the ears usually ones with bigger heads it's fine for me though.Didn't feel deep bass but rocking nonetheless.READ MORE,4
Very good product.i got it as price 1275 RS with phone pay discount.   Product is awesome..loud bass with clarity. Fit to our ear. But it Bluetooth range is smaller than said in description i.e. 6 to 8 m. Other good delivery n packaging very good. battery backup also awesome I am not charging since bought this product.just checked that charging issue find or not. Great product....go for it.READ MORE,5
"Bought it for 999 it's definitely worth for the amount we are paid to get those,Pros1. High Bass with HD Sound Quality (Use Poweramp Music Player to get best of this headphone).2. Battery Backup - Those who use 3-4 hours daily will have a battery backup of 3-5 days (Tested with my limits).ConsBut it will not be able to make you feel comfort and you will regret after buying one of these for the reasons which can easily sort out by the manufacturer.1. The Ear Cushions which are not ...READ MORE",4
"Pros-- Excellent Battery Backup (nearly 7 hrs)- Good Bass - All in One -  Wired and Wireless, Built in Mic, Play/Pause, Receive/End Call- Good Build Quality- Worth the Price...I got it at ₹699(₹300 Cashback from PhonePe) only...Cons-- Bass is nothing until using Bass Boost.- Worst Sound Quality when connecting to 3.5 mm jack- Need to Speak loudly while talking to Someone..Also Voice is very Low ...so needs to listen carefully....READ MORE",4
It's a nice product with nice build quality and sound quality also battery backup is good overall product is nice with this price 999 Bluetooth range is also good upto 10-20 meter mic quality is also goodREAD MORE,4
This is my first product from Boat and this Headphone is just awesome 😀 . The sound quality is just amazing and it's very loud . You can feel the Vibration when you are playing music. This Headphone comes with one year warranty which is just super . The packing of the product is soooooo good . The design and build is just appreciated .Even Celebrities can use this Headphone . This Headphone is very cheap but its performance is incredibly wonderful . Don't think just buy it now . If you found...READ MORE,5
boat rockerz 400 is awesome product in this price range any company cannot give you that much quality 1. price is very good 2. Bass is awesome 3. sound is very clear. I recommend this product to anyone who loves music...READ MORE,4
"Helo Friends,Since Boat is trending now in the headphone accessories market many will need a second opinion before purchase. I have used earphones of JBL, senheizzer, Skullcandy and MI till now. I also had a chance to use Sony wired headset once.The product boAt Rickerz 400 headset is an entry level headset which I got at an offer price of 999Rs. The product was delivered within a week time and well packed. Kudos to Ekart on a better delivery. However the product box inside the courier pa...READ MORE",4
Awesome !!! 🤩🔥🔥The bass is top notch sounf quality is great even at loud speedthe battery backup is also very good 🤘🏻🔥READ MORE,5
i dont know how people give 1star to this product. this product should be given 4.5 stars bcoz it has superb bass as well as battery backup is extremely good. can watch almost two movies at a time and after that can use the wire given in it ❤️ appreciation for such an amount is needed for a product like this.writing this from mumbai andheri! atlast mumbai style ka review product bohut hard hai .READ MORE,5
It is too tight and paining with in 20min of usage. Compatability with mobile phones is not that good. I tried with Zenfone Pro M1 and Honor View 10 mobiles. volume up and down buttons not working as expected. Those buttons are always changing songs. Call clarity is actually worst. I tried in almost 10 different devices. Voice always get disconnected. Only good point I see is audio quality and bass is good while listening songs.READ MORE,1
"in Bluetooth connection sound ,bass, all is good but using aux cable cable bass & sound is low and volume button not works on aux cable.and not good for calls and days later ear got paining.READ MORE",2
awesome product crystal clear sound with superb bass. I buy these for RS 999 only this money worth it thanks for big shopping days sale . I love my favourite shopping app FlipkartREAD MORE,5
"Awesome product ,great experience awesome sound effect .good battery life ,very gr8 sound,problem is takin in travelling cant be folded for a flat position and 1 more problem is Mic not working well ,callers cannot receive very clearly even though a very good productREAD MORE",4
"I gifted this to my sister on rakhi....we were very happy to see the box and the quality of what we got at this price...the sound quality is very good...i have used other headphones including philips, audiotechnica, sony and also soundmagic...this stands with quality to audiotechnica and yeah bluetooth works perfectly!boat=audiotechnica(~1300rs range)>soundmagic>philips=sony.So should u buy this? Yes! if ur budget stands near 1000-1200.READ MORE",5
dissipointed !!!!    (not comfortable)                                                                 Very bad for ears ...hardly 10 to 15mins u can listen music and then .....hhhhh ..pain start ...it also very tight... cushion not good ..(bakwass)                                  sound is quite good ..bass nice ..treble absent...mid is just ok type ...                                                                         build quality good ..specially plastic they used .....           con...READ MORE,1
Really impressed with this...I was using in ear Sony Bluetooth which I was very much addicted n not convinced with any other over the head phones...but this 40 mm BOAT rocker's really rocked n I use this more now...technically its worth for the price ...n I am happy customer of BOAT brand...congratsREAD MORE,4
if i talk about the sound quality of this i want to rate 100+....very awsm quality of deep bass and very peaceful to my ears....  design - i liked this thing very much... because one of my friend owned this awsm product from him i get to know about this wonderful product i am in a search of.. sorry i cant say anything much about battery  back up because i am writing this review within 1day of this product delivery...      I LIKED THIS PRODUCT ......HOPE U ALL                   _______-SHI...READ MORE,5
very good headphone...built quality good..bass is super... microphone is not too good..also it is little uncomfortable after using 1hour...overall it is a good headphone with respect of it's price...I got it at just 999...wow deal at big saver day flipkartREAD MORE,4
Good sound quality in reasonable price Colour is amazing Volume set up is not much good and semi comfortable for wearing purpose but all over good productREAD MORE,4
I really like the product it is awesome but only this is that the product seal were open and it was dirty that means I was used by some1 before then me but the product is good and I like it I would like to suggest flipkart not to send the used product anyways the headphones are really awesomeREAD MORE,5
Excellent jst awesome product... Love it at 999 it is bestREAD MORE,4
I used this headset for quite a while it is very comfortable and is handy.I own a jbl t 350 but i think the build and design of boat 400 is better thank you flipkart.READ MORE,5
Yes good and provides good bass. From a student giving ICSE 2020 BOARD EXAM HOLY angel school rajpuraREAD MORE,5
I received it on 23rd of January..the packaging was good and on time delivery..❤I have been using this headphones for around 3 weeks..and all is going good till now..Sound   - (9/10) - Balanced Sound👌Bass.     - (9/10) - Good Amount of Bass as many of us like.💓                                But initially i feel bass is not up to mark..                                But later on i used poweramp music player.                                 And then magically the quality was        ...READ MORE,4
sound quality is good .Connectivity can be better it's not that good it's range is within 3 m only.it feels tight but its ok.mic of this works if you are away around 1m and above.READ MORE,5
Base excellent charging good i loved this product a lot thank youREAD MORE,5
"It's good to play pubg with wired and it have extra bass but no build quality used it for 9months. Today it broken when I put in my ear. But when I got it I thought that it is very good build quality but it doesn't.Any way it was a good headphone for me to play pubg (while using wire, otherwise 1,2 second delay) Loved it 🤗😌 but no more 😕READ MORE",3
Light weight and Stylish. Good sound quality bass can be better and has good battery back up. connectivity is low otherwise a great product.READ MORE,5
Awesome product worth moneyNice sound nice build nice design but.....Only thing that didn't give this a 5 on 5 is The east cups are small and cushion it's not that appreciable it hurts your ears if you wear it for long periodsREAD MORE,4
"excellent headset . good build quality,8to9 hour run time,  sound quality is also good in this price. i pay 900 for this. thanks to flipkart for giving us this type of sale.READ MORE",5
"Its a decent good product for the price ,since I am using it for 4-5 month and I am not facing any issue with the sound  , the sound of this headphone are just satisfying and best in this price i must say , and talking about battery backup this headphone comes with a good battery  long lasting hence i used to play 1-2 hour daily so battery remain till 5-6 daysProblemThe only problem i faced after 1 month  with this product  is its Bluetooth range  and which problem is common in every Blueto...READ MORE",4
It's product is really too good . I'm really very happy with it bcos it's only for those who want a bajact WIRELESS headphone everything iss good with it only a it's looks sometime I feel is simple but it is not my cup of tea but if u r looking only for looking then u can go for others also but it's praformes iss too gud in this price i got it in Rs 1100✌️✌️READ MORE,5
"Sound clarity and bass is above average. Loved it. But the most irritating thing is that it's not comfortable at all. It holds both of our earpieces like a hell. Not recommended for gaming. Even though I'm a hard gamer. It cannot be used for more than 15mins (hardly). AUX is perfectly fine, no issue with that but the bluetooth connectivity also irritating me at some points. While using through bt, it produces some awkward sounds when we pause--play--pause-play a  video. First' I thought it's...READ MORE",3
"Best headphones at this price, i got it for 850 and for that its a steal deal.This is going to be a long term review, when i was buying this i have boat 450 in my mind too but somewhere i research both and found boat 450 is not durable and gets brick from its joints and also 450 have very heavy bass which kills mids and highs sometimes,For example in pubg if you using m762 and when you spray you will not able to hear anything else because of that heavy bass in boat 450.Now coming to boat 4...READ MORE",5
This headphones is very good for regular use but you can't use 3 or 4 hour because the cusion quality is not decent but in this price range this is awesome.... And better than zebronics zeb thunder infinity by jbl because its driver is too bigREAD MORE,5
"I really like the headphones, the sound quality and the design is also very good and it is comfortable as well however if you want to buy this for calls so this is not the perfect product for you, the microphone is not perfect the other person on the phone won't be able to hear you clearly.READ MORE",4
"Built quality, base, colour are excellent. The foam material which holds on ears are made with quality products. One can adjust the soeakers in various directions. Aux cable and charger cable provided in the box. You can use  aux cable to enjoy music  if you have not available with bluetooth option. I opted for black and red model which is amazing. Go for it. You may get it within 964.00 in sale days.READ MORE",4
1.sound quality is pretty good and bass is also good2.battery backup is excellent...mostly if you go outside you can trust battery it'll stand up to 6-8 hrs 3.build quality is not good because it feels painful over ears ...the cushion is for no use ..my ears feel tightness...and makes me mad sometimes4.for pubg you can't judge the footsteps clearly even at full volume ..use it with aux cable while playing pubg..lil bit better..Overall ...if you want comfortable one go with costly one...an...READ MORE,3
"This product is very amazing..it has good sound quality and design built is also good .The main point I purchased this was for microphone for online classes.. this product's mic is not so good..while talking, our voice is not audible to the receiver . Our voice comes with some external disturbances which results in fuzzy sound...READ MORE",4
I like the sound of this headphone I want white colour but it is Grey overall it is good good base good battery quality but design is not well but the price range is good thank you Flipkart for this product fast deliveryREAD MORE,3
"The reason for choosing this one over all others---it works both with bluetooth and aux cable(wired).so bhagwan na kare agar bluetooth kharab ho jae toh u can still use aux cable to use it as wired. It's one advantage and a big one over others. Two in one. It's tight fit, ears will pain after 30-45 mins, but It mit get loosen with time. Voice is good, connectivity working fine till now. Bass is good. Looks good built wise. In short, leke baat khatam karo. 1399 me aur kya chahiye.READ MORE",5
This bluetooth headphone really worth for money it has superb bass with best sound quality and build extremely unbelievable don't think for by just by right now  really really awesome broREAD MORE,5
This is the best head phone that I never hark the base like this headphone and wonderfully performance when I played games in my pc.I suggested to people to buy this head phone name boat Rockerz 400READ MORE,5
"-The product description page says it is Bluetooth v 4.1 but it is actually v 2.1 which means poor connectivity and range.-You have to adjust equalizer settings in your phone (if it allows) to get good sound else you will hear just bass and vocals and other sounds will be suppressed. Sound quality is good to listen to music.-Beware if you are buying it to make regular or VoIP calls, the sound keeps breaking with noise. Not ideal for calls and meetings.-Build quality could have been better,...READ MORE",3
"Great product. And the color white and green is also so great. Trust me on this one, this is a great product.READ MORE",5
Boat Rockerz 400 is very good headset. It has perfect bass for listening songs although I am a Lenovo k6 power user I have Dolby Atmos on my phone l run it on it. It gives me very good performance.l like the build quality. Boat is always my favourite headphone company.                 Thanks Flipkart and the seller.READ MORE,5
"I purchased this model of boAt Rockerz400 and 1.           purchase flipkart smart headphone  and now after h 25 days both comparison I like Flipkart headphone because flipkart headphone sound quality is much better then boat 400 . Base, phone call voice and mic is very good of Flipkart headphone that is my experienceREAD MORE",5
This is a very Reasonable Head phone with a great battery and with a pretty sound that make you happy proud or your purchase.Thank you BoAt for this amazing headphoneREAD MORE,5
Nice headset good bass battery backup is great. But seems to have problems with mic. But does a pretty good job. Noice cancellation is great.READ MORE,4
"Best headphones under 2000. Good bass ,good sound quality, but not good battery backup.but overall the best headphone is boat rockerz 400 one more problem is that low Bluetooth connectivity .READ MORE",5
I give reviw after 7 month using  this is awesome  working Nd good condition yet ....  Best use for gaming movies song high &  loud quality Betty backup is good  i feel more than 8 hour it's work  but I can give 4 star cause u  feel disappoint while callingREAD MORE,5
"Sound quality is really good and comes with adequate bass. I think the build quality would have much better but still it's quite better than other brands providing in this budget,Battery backup is also literally very well. Should go for it if you want to have a great sound quality in budget.READ MORE",4
clear HD audio without any distractions...         excellent sound....                                                            bass was awesome theatre like experience...          highly recommended product...                                  bought it for just 999/-  best in range...READ MORE,5
"Thank you Flipkart for Fast delivery and sound , Quality Mind blowing . Bole to pesa Vasul Product . Thank you so much again Flipkart  😍🙏🙏🙏❤READ MORE",5
"Nice product.....good sound , bass. Solid build. Best headphones under 1500. -2 stars for comfort and battery .. delivery was also pretty late 6-7 daysREAD MORE",3
wahooo best product boat headphones best sound quality but delivery so late now but product best best flipkart parcel service is best for me thanku flipkart happy shoppingREAD MORE,4
